"year","variable_rename","model","scenario","value","alpha","axe"
2030,"CCS","USREP-ReEDS","No IRA",2.84076722222222e-08,1,1
2030,"CCS","USREP-ReEDS","IRA",3.70695111111111e-08,1,1
2030,"CCS","GCAM-CGS","No IRA",3.26449228341685,1,1
2030,"CCS","GCAM-CGS","IRA",425.708170452632,1,1
2030,"CCS","GCAM-PNNL","No IRA",0,1,1
2030,"CCS","GCAM-PNNL","IRA",297.503888888889,1,1
2030,"CCS","Haiku-RFF","No IRA",0,1,1
2030,"CCS","Haiku-RFF","IRA",4.97219056873931,1,1
2030,"CCS","IPM-NRDC","No IRA",16.0819088097581,1,1
2030,"CCS","IPM-NRDC","IRA",128.22058547275,1,1
2030,"CCS","IPM-EPA","No IRA",26.7180724406372,1,1
2030,"CCS","IPM-EPA","IRA",109.377026515674,1,1
2030,"CCS","MARKAL-NETL","No IRA",0,1,1
2030,"CCS","MARKAL-NETL","IRA",218.726087202952,1,1
2030,"CCS","NEMS-OP","No IRA",0,1,1
2030,"CCS","NEMS-OP","IRA",12.9785477447506,1,1
2030,"CCS","REGEN-EPRI","No IRA",3.05531633260665e-06,1,1
2030,"CCS","REGEN-EPRI","IRA",167.76223646003,1,1
2030,"CCS","RIO-REPEAT","No IRA",3.7912,1,1
2030,"CCS","RIO-REPEAT","IRA",4.739,1,1
2030,"CCS","ReEDS-NREL","No IRA",0,1,1
2030,"CCS","ReEDS-NREL","IRA",255.327185080497,1,1
2030,"CCS","NEMS-EIA","No IRA",0,1,1
2030,"CCS","NEMS-EIA","IRA",2.67359774618987,1,1
2035,"CCS","USREP-ReEDS","No IRA",7.76932722222222e-08,1,2
2035,"CCS","USREP-ReEDS","IRA",9.24105e-08,1,2
2035,"CCS","GCAM-CGS","No IRA",0,1,2
2035,"CCS","GCAM-CGS","IRA",432.743331836404,1,2
2035,"CCS","GCAM-PNNL","No IRA",0,1,2
2035,"CCS","GCAM-PNNL","IRA",415.189055555556,1,2
2035,"CCS","Haiku-RFF","No IRA",0,1,2
2035,"CCS","Haiku-RFF","IRA",5.55219906773352,1,2
2035,"CCS","IPM-NRDC","No IRA",16.0819088097581,1,2
2035,"CCS","IPM-NRDC","IRA",128.220585471362,1,2
2035,"CCS","IPM-EPA","No IRA",26.7180724406372,1,2
2035,"CCS","IPM-EPA","IRA",144.444135652434,1,2
2035,"CCS","MARKAL-NETL","No IRA",0,1,2
2035,"CCS","MARKAL-NETL","IRA",1310.73999636894,1,2
2035,"CCS","NEMS-OP","No IRA",0,1,2
2035,"CCS","NEMS-OP","IRA",9.98282968238928,1,2
2035,"CCS","REGEN-EPRI","No IRA",4.06624747201567e-06,1,2
2035,"CCS","REGEN-EPRI","IRA",167.607588885392,1,2
2035,"CCS","RIO-REPEAT","No IRA",2.8434,1,2
2035,"CCS","RIO-REPEAT","IRA",1.8956,1,2
2035,"CCS","ReEDS-NREL","No IRA",0,1,2
2035,"CCS","ReEDS-NREL","IRA",274.98260500641,1,2
2035,"CCS","NEMS-EIA","No IRA",0,1,2
2035,"CCS","NEMS-EIA","IRA",3.5026316055077,1,2
