"model","scenario","unit","year","datasrc","variable","region","value","stagger"
"EPS-EI","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3347.003485,0
"EPS-EI","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",2796.936628,0
"EPS-EI","IRA.High","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3067.009458,0.7
"EPS-EI","IRA.High","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",2741.965576,0.7
"EPS-EI","IRA.Low","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3433.919429,-0.7
"EPS-EI","IRA.Low","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",2882.332415,-0.7
"GCAM-CGS","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3507.39059080313,0
"GCAM-CGS","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3238.48939647775,0
"GCAM-CGS","IRA.High","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3400.1193008721,0.7
"GCAM-CGS","IRA.High","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3192.55138245144,0.7
"GCAM-CGS","IRA.Low","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3598.96602573759,-0.7
"GCAM-CGS","IRA.Low","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3254.08482108779,-0.7
"REGEN-EPRI","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3920.61451399309,0
"REGEN-EPRI","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3158.19215192956,0
"REGEN-EPRI","IRA.High","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3983.36753615293,0.7
"REGEN-EPRI","IRA.High","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",2967.36726080504,0.7
"REGEN-EPRI","IRA.Low","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",4076.56942128387,-0.7
"REGEN-EPRI","IRA.Low","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3609.04870272346,-0.7
"RIO-REPEAT","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3587,0
"RIO-REPEAT","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",2653,0
"RIO-REPEAT","IRA.High","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3464,0.7
"RIO-REPEAT","IRA.High","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",2476,0.7
"RIO-REPEAT","IRA.Low","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",3629,-0.7
"RIO-REPEAT","IRA.Low","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy","United States",2877,-0.7
"USREP-ReEDS","IRA","Mt CO2/yr",2030,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3493.680895,0
"USREP-ReEDS","IRA","Mt CO2/yr",2035,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3231.66939,0
"USREP-ReEDS","IRA.High","Mt CO2/yr",2030,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3477.093537,0.7
"USREP-ReEDS","IRA.High","Mt CO2/yr",2035,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3208.064153,0.7
"USREP-ReEDS","IRA.Low","Mt CO2/yr",2030,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3589.719854,-0.7
"USREP-ReEDS","IRA.Low","Mt CO2/yr",2035,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3344.497042,-0.7
"GCAM-PNNL","High Growth","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Emissions|CO2|Energy","United States",3658.95761897243,NA
"GCAM-PNNL","High Growth","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Emissions|CO2|Energy","United States",3444.09463877142,NA
"GCAM-PNNL","Core","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Emissions|CO2|Energy","United States",3571.21978413499,NA
"GCAM-PNNL","Core","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Emissions|CO2|Energy","United States",3339.23742864185,NA
"GCAM-PNNL","Low Growth","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Emissions|CO2|Energy","United States",3536.18066620795,NA
"GCAM-PNNL","Low Growth","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Emissions|CO2|Energy","United States",3307.01863560683,NA
